dliNumber,name,city,campus,province,pgwp,pgwpLink,,,
O112543961007,Advantage English School E/J,Whistler,,British Columbia,No, - ,,,
O284080286472,JoinAir Helicopters,Chilliwack,,British Columbia,Yes (details),https://canada-preview.adobecqms.net/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O142195159782,Coastal College of British Columbia,New Westminster,,British Columbia,No, - ,,,
O160587281272,Vancouver Davis College,Richmond,,British Columbia,No, - ,,,
O125645169227,Multihexa College BC,"Vancouver, Victoria",,British Columbia,No, - ,,,
O279677394752,International Gateway Language Academy and College - Kelowna,Kelowna,,British Columbia,No, - ,,,
O276771956432,Vancoderm Academy,Vancouver,,British Columbia,No, - ,,,
O276706540862,Canadian Southwestern College,Richmond,,British Columbia,No, - ,,,
O142586176482,EduGlobal College,Westminster,,British Columbia,No, - ,,,
O275682376662,ACE Community College,Surrey,,British Columbia,No, - ,,,
O275700627832,Glenn College,Vancouver,,British Columbia,No, - ,,,
O152098916592,Canada Y.C. Music Academy,Richmond,,British Columbia,No, - ,,,
O152106045442,Creative Minds Early Learning Society,Vancouver,,British Columbia,No, - ,,,
O150574968012,United Pacific College,Richmond,,British Columbia,No, - ,,,
O150680894402,Trinity Language Centre,Richmond,,British Columbia,No, - ,,,
O150186247152,Avalon Community College,Nanaimo,,British Columbia,No, - ,,,
O274452822122,Millar College of the Bible,Tappen,,British Columbia,No, - ,,,
O273607567292,Cambie College,Vancouver,,British Columbia,No, - ,,,
O272677492222,Royal Byng College,Richmond,,British Columbia,No, - ,,,
O272674633932,Canadian School of Osteopathy Manual Practice - Vancouver,Vancouver,,British Columbia,No, - ,,,
O272675784222,Pan Canada College,Surrey,,British Columbia,No, - ,,,
O272070464932,NPC College of Arts & Design,Richmond,,British Columbia,No, - ,,,
O272069908012,Vancouver Aviation College,Pitt Meadows,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19394940932,Dorset College,Vancouver,,British Columbia,No, - ,,,
O19330446102,Focus College,Vancouver Abbotsford,,British Columbia,No, - ,,,
O145763011462,Strava College,Surrey,,British Columbia,No, - ,,,
O145410391352,On The Mic Training,Vancouver,,British Columbia,No, - ,,,
O266418531812,Story Institute,Vancouver,,British Columbia,No, - ,,,
O265275735142,Canadian Chinese School of Theology Vancouver,Richmond,,British Columbia,No, - ,,,
